miRNA,disease,reference
hsa-mir-144,Melanoma,HMDD
hsa-mir-144,Thyroid cancer and medullary,HMDD
hsa-mir-144,Pulmonary Edema,HMDD
hsa-mir-144,Osteosarcoma,HMDD
hsa-mir-144,Neurodegenerative Diseases,HMDD
hsa-mir-144,Multiple Sclerosis,HMDD
hsa-mir-144,Uveal melanoma,HMDD
hsa-mir-144,Myelodysplastic Syndromes,HMDD
hsa-mir-144,Neuralgia,HMDD
hsa-mir-144,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-144,Acquired Immunodeficiency Syndrome,HMDD
hsa-mir-144,Hematoma and Subdural and Chronic,HMDD
hsa-mir-144,Cachexia,HMDD
hsa-mir-144,Chronic Periodontitis,HMDD
hsa-mir-144,Osteoporosis,HMDD
hsa-mir-144,Uremia,HMDD
hsa-mir-144,Liver Cirrhosis,HMDD
hsa-mir-144,Hepatitis B and Chronic,HMDD
hsa-mir-221,Colonic Neoplasms,HMDD
hsa-mir-221,Diabetes Mellitus,HMDD
hsa-mir-221,Kidney Diseases,HMDD
hsa-mir-221,Osteoarthritis,HMDD
hsa-mir-221,Inflammation,HMDD
hsa-mir-221,breast cancer,HMDD
hsa-mir-221,Colorectal Neoplasms,HMDD
hsa-mir-221,Ischemic Stroke,HMDD
hsa-mir-221,Ovarian Neoplasms,HMDD
hsa-mir-221,Liver Neoplasms,HMDD
hsa-mir-221,Uterine Cervical Neoplasms,HMDD
hsa-mir-221,Cataract,HMDD
hsa-mir-221,Cerebrovascular Disorders,HMDD
hsa-mir-221,Hypertension,HMDD
hsa-mir-221,Pterygium,HMDD
hsa-mir-221,Carcinoma and Ovarian Epithelial,HMDD
hsa-mir-221,Familial Multiple Coagulation Factor Deficiency I,HMDD
hsa-mir-221,Neoplasm Metastasis,HMDD
hsa-mir-221,Metabolic Diseases,HMDD
hsa-mir-221,Cardiomegaly,HMDD
hsa-mir-221,Obesity,HMDD
hsa-mir-221,Ischemia,HMDD
hsa-mir-221,Papillomavirus Infections,HMDD
hsa-mir-221,Thyroid Neoplasms,HMDD
hsa-mir-221,Hepatitis C,HMDD
hsa-mir-221,Dehydration,HMDD
hsa-mir-221,Infertility,HMDD
hsa-mir-221,Multiple Myeloma,HMDD
hsa-mir-221,Influenza and Human,HMDD
hsa-mir-221,Substance Abuse and Intravenous,HMDD
hsa-mir-221,Arthritis,HMDD
hsa-mir-221,Muscular Dystrophy and Duchenne,HMDD
hsa-mir-221,Tuberous Sclerosis,HMDD
hsa-mir-221,Duane Retraction Syndrome,HMDD
hsa-mir-221,Thyroid Diseases,HMDD
hsa-mir-221,Exocrine Pancreatic Insufficiency,HMDD
hsa-mir-221,Carcinoma,HMDD
hsa-mir-221,Blood Platelet Disorders,HMDD
hsa-mir-221,Obesity and Abdominal,HMDD
hsa-mir-221,Alcohol Withdrawal Delirium,HMDD
hsa-mir-221,Hereditary Angioedema Types I and II,HMDD
hsa-mir-221,Budd-Chiari Syndrome,HMDD
hsa-mir-221,Refractive Errors,HMDD
hsa-mir-221,Peritonsillar Abscess,HMDD
hsa-mir-221,Spasm,HMDD
hsa-mir-221,Juvenile gout,HMDD
hsa-mir-221,Intestinal Diseases,HMDD
hsa-mir-221,Carcinoma and Endometrioid,HMDD
hsa-mir-221,Disease Progression,HMDD
hsa-mir-221,Anemia and sideroblastic spinocerebellar ataxia,HMDD
hsa-mir-221,Pica,HMDD
hsa-mir-221,Early-Stage Malignant Melanoma,HMDD
hsa-mir-221,Hepatitis E,HMDD
hsa-mir-221,Severe Asthma,HMDD
hsa-mir-221,Insulin Resistance,HMDD
hsa-mir-221,Diabetes Mellitus and Type 2,HMDD
hsa-mir-221,Prostatic Neoplasms,HMDD
hsa-mir-221,Diabetes and Gestational,HMDD
hsa-mir-221,Thyroid Cancer and Papillary,HMDD
hsa-mir-221,Osteoporosis,HMDD
hsa-mir-221,Aortic Aneurysm and Thoracic,HMDD
hsa-mir-221,Carcinoma and Hepatocellular,HMDD
hsa-mir-221,Plaque and Atherosclerotic,HMDD
hsa-mir-221,Atherosclerosis,HMDD
hsa-mir-221,Glioma,HMDD
hsa-mir-221,Obesity and Maternal,HMDD
hsa-mir-221,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-221,Carcinoma and Ductal and Breast,HMDD
hsa-mir-221,Cervical Intraepithelial Neoplasia,HMDD
hsa-mir-221,Acute Coronary Syndrome,HMDD
hsa-mir-221,Arthritis and Rheumatoid,HMDD
hsa-mir-221,Glaucoma and Open-Angle,HMDD
hsa-mir-221,Leiomyosarcoma,HMDD
hsa-mir-221,Osteosarcoma,HMDD
hsa-mir-221,Glioblastoma,HMDD
hsa-mir-221,Nasal Polyps,HMDD
hsa-mir-221,Chronic Rhinosinusitis With Nasal Polyps,HMDD
hsa-mir-221,Behcet Syndrome,HMDD
hsa-mir-221,Liver Cirrhosis,HMDD
hsa-mir-221,Pancreatic Carcinoma,HMDD
hsa-mir-221,Acquired Immunodeficiency Syndrome,HMDD
hsa-mir-221,Neurodegenerative Diseases,HMDD
hsa-mir-221,Heart Failure,HMDD
hsa-mir-221,Liver Injury,HMDD
hsa-mir-221,Amyotrophic Lateral Sclerosis,HMDD
hsa-mir-221,Cardiomyopathy and Hypertrophic,HMDD
hsa-mir-221,Diabetic Nephropathies,HMDD
hsa-mir-221,Gaucher Disease,HMDD
hsa-mir-221,Precursor Cell Lymphoblastic Leukemia-Lymphoma,HMDD
hsa-mir-221,Pulmonary Arterial Hypertension,HMDD
hsa-mir-221,Thrombocythemia and Essential,HMDD
hsa-mir-221,Urinary Bladder Neoplasms,HMDD
hsa-mir-221,Endometrial Neoplasms,HMDD
hsa-mir-221,Cardiovascular Diseases,HMDD
hsa-mir-221,Gastrointestinal Stromal Tumors,HMDD
hsa-mir-221,Leukemia,HMDD
hsa-mir-221,Acute Lung Injury,HMDD
hsa-mir-221,Depression,HMDD
hsa-mir-221,Papillary Thyroid Microcarcinoma,HMDD
hsa-mir-221,Leukemia and Myelogenous and Chronic and BCR-ABL Positive,HMDD
hsa-mir-221,Pulmonary Embolism,HMDD
hsa-mir-221,Atrial Fibrillation,HMDD
hsa-mir-221,Peripheral Nerve Injuries,HMDD
hsa-mir-221,Neuralgia,HMDD
hsa-mir-221,Parkinson Disease,HMDD
hsa-mir-221,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-221,Pancreatitis and Chronic,HMDD
hsa-mir-221,Myocardial Infarction,HMDD
hsa-mir-221,Diabetic Neuropathies,HMDD
hsa-mir-221,Coronary Disease,HMDD
hsa-mir-221,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-221,Hematologic Neoplasms,HMDD
hsa-mir-221,Leukemia and Acute,HMDD
hsa-mir-221,Infectious pancreatic necrosis virus,HMDD
hsa-mir-221,Choledocholithiasis,HMDD
hsa-mir-221,Cholangiocarcinoma,HMDD
hsa-mir-221,Essential Hypertension,HMDD
hsa-mir-221,Leukemia and Lymphocytic and Chronic and B-Cell,HMDD
hsa-mir-221,Diabetic Retinopathy,HMDD
hsa-mir-221,COVID-19,HMDD
hsa-mir-221,Postoperative Cognitive Complications,HMDD
hsa-mir-221,Keratitis and Herpetic,HMDD
hsa-mir-221,Premature Birth,HMDD
hsa-mir-221,Carcinoma and Renal Cell,HMDD
hsa-mir-221,Mucocutaneous Lymph Node Syndrome,HMDD
hsa-mir-221,Liver Diseases,HMDD
hsa-mir-221,Adenocarcinoma and Follicular,HMDD
hsa-mir-221,Pregnancy Complications,HMDD
hsa-mir-221,pancreatic cancer,HMDD
hsa-mir-221,Hepatitis B,HMDD
hsa-mir-221,Fetal Macrosomia,HMDD
hsa-mir-221,Arthritis and Psoriatic,HMDD
hsa-mir-221,Depressive Disorder,HMDD
hsa-mir-221,Intellectual Disability,HMDD
hsa-mir-221,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-221,Concussion and Sports-Related,HMDD
hsa-mir-221,Critical Illness,HMDD
hsa-mir-221,Autism Spectrum Disorder,HMDD
hsa-mir-221,Depression and Postpartum,HMDD
hsa-mir-221,Respiratory Distress Syndrome,HMDD
hsa-mir-221,Central Nervous System and Non-Infectious,HMDD
hsa-mir-221,Arthritis and Gouty,HMDD
hsa-mir-221,Bipolar Disorder,HMDD
hsa-mir-221,Acute Kidney Injury,HMDD
hsa-mir-221,Myocardial Reperfusion Injury,HMDD
hsa-mir-221,Myocarditis,HMDD
hsa-mir-218,Ovarian Neoplasms,HMDD
hsa-mir-218,Diabetes Mellitus,HMDD
hsa-mir-218,lung cancer,HMDD
hsa-mir-218,Schizophrenia,HMDD
hsa-mir-218,Osteoarthritis,HMDD
hsa-mir-218,Osteoporosis,HMDD
hsa-mir-218,Precancerous Conditions,HMDD
hsa-mir-218,Uterine Cervical Neoplasms,HMDD
hsa-mir-218,Carcinoma and Squamous Cell,HMDD
hsa-mir-218,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-218,Esophageal Neoplasms,HMDD
hsa-mir-218,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-218,Norrie disease,HMDD
hsa-mir-218,Bone Diseases,HMDD
hsa-mir-218,Cholangiocarcinoma,HMDD
hsa-mir-218,Insulin Resistance,HMDD
hsa-mir-218,DiGeorge Syndrome,HMDD
hsa-mir-218,Bone Diseases and Metabolic,HMDD
hsa-mir-218,Neurodegenerative Diseases,HMDD
hsa-mir-218,Virus Diseases,HMDD
hsa-mir-218,Abortion and Spontaneous,HMDD
hsa-mir-218,Neurotic Disorders,HMDD
hsa-mir-218,Diabetic Nephropathies,HMDD
hsa-mir-218,Endometriosis,HMDD
hsa-mir-218,Pars Planitis,HMDD
hsa-mir-218,Diabetic Retinopathy,HMDD
hsa-mir-218,Stress Disorders and Traumatic,HMDD
hsa-mir-218,Adenocarcinoma in Situ,HMDD
hsa-mir-218,Anxiety Disorders,HMDD
hsa-mir-218,Mental Disorders,HMDD
hsa-mir-218,Kartagener Syndrome,HMDD
hsa-mir-218,Uterine Diseases,HMDD
hsa-mir-218,Leigh Disease,HMDD
hsa-mir-218,Choroidal Neovascularization,HMDD
hsa-mir-218,Heart Septal Defects and Atrial,HMDD
hsa-mir-218,Child Development Disorders and Pervasive,HMDD
hsa-mir-218,Squamous Intraepithelial Lesions,HMDD
hsa-mir-218,Astrocytoma,HMDD
hsa-mir-218,Alopecia,HMDD
hsa-mir-218,Encephalocele,HMDD
hsa-mir-218,Sciatic Neuropathy,HMDD
hsa-mir-218,Hypocapnia,HMDD
hsa-mir-218,Motor Neuron Disease,HMDD
hsa-mir-218,Endometritis,HMDD
hsa-mir-218,Testicular Germ Cell Tumor,HMDD
hsa-mir-218,Colorectal Neoplasms,HMDD
hsa-mir-218,Diabetes and Gestational,HMDD
hsa-mir-218,Prostatic Neoplasms,HMDD
hsa-mir-218,Pulmonary Arterial Hypertension,HMDD
hsa-mir-218,Obesity,HMDD
hsa-mir-218,Gastrointestinal Stromal Tumors,HMDD
hsa-mir-218,Myocardial Infarction,HMDD
hsa-mir-218,Atherosclerosis,HMDD
hsa-mir-218,Glioma,HMDD
hsa-mir-218,Multiple Sclerosis and Relapsing-Remitting,HMDD
hsa-mir-218,Radiation Injuries,HMDD
hsa-mir-218,Carcinoma and Hepatocellular,HMDD
hsa-mir-218,Pre-Eclampsia,HMDD
hsa-mir-218,Urinary Bladder Neoplasms,HMDD
hsa-mir-218,Dmd-Associated Dilated Cardiomyopathy,HMDD
hsa-mir-218,Aortic Aneurysm and Abdominal,HMDD
hsa-mir-218,Esophageal Fibrosis,HMDD
hsa-mir-218,Arthritis and Rheumatoid,HMDD
hsa-mir-218,Parkinson Disease,HMDD
hsa-mir-218,Stomach Neoplasms,HMDD
hsa-mir-218,Retinoblastoma,HMDD
hsa-mir-218,breast cancer,HMDD
hsa-mir-218,Leukemia and Myelogenous and Chronic and BCR-ABL Positive,HMDD
hsa-mir-218,Myelodysplastic Syndromes,HMDD
hsa-mir-218,Leukemia,HMDD
hsa-mir-218,Acute Kidney Injury,HMDD
hsa-mir-218,Osteosarcoma,HMDD
hsa-mir-218,Pancreatic Carcinoma,HMDD
hsa-mir-218,Placenta Accreta,HMDD
hsa-mir-218,Tongue Neoplasms,HMDD
hsa-mir-218,Coronary Artery Disease,HMDD
hsa-mir-218,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-218,Glioblastoma,HMDD
hsa-mir-218,Wilms Tumor,HMDD
hsa-mir-218,Peste-des-Petits-Ruminants,HMDD
hsa-mir-218,Laryngeal Neoplasms,HMDD
hsa-mir-218,Carcinoma and Renal Cell,HMDD
hsa-mir-218,Sepsis,HMDD
hsa-mir-218,Lung Injury,HMDD
hsa-mir-218,Hepatitis B and Chronic,HMDD
hsa-mir-218,Rabies,HMDD
hsa-mir-449a,Uterine Cervical Neoplasms,HMDD
hsa-mir-449a,Atrial Premature Complexes,HMDD
hsa-mir-449a,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-449a,Mitochondrial Diseases,HMDD
hsa-mir-449a,Aortic Valve Insufficiency,HMDD
hsa-mir-449a,Hypertension and Pulmonary,HMDD
hsa-mir-449a,Acute Kidney Injury,HMDD
hsa-mir-449a,Birth Weight,HMDD
hsa-mir-449a,Tuberculosis,HMDD
hsa-mir-449a,Stomach Neoplasms,HMDD
hsa-mir-449a,Thyroid Cancer and Papillary,HMDD
hsa-mir-449a,Osteoarthritis,HMDD
hsa-mir-449a,Azoospermia and Nonobstructive,HMDD
hsa-mir-449a,Celiac Disease,HMDD
hsa-mir-449a,Asthenozoospermia,HMDD
hsa-mir-449a,Colorectal Neoplasms,HMDD
hsa-mir-449a,Pituitary Neoplasms,HMDD
hsa-mir-449a,Multiple Sclerosis,HMDD
hsa-mir-449a,Osteosarcoma,HMDD
hsa-mir-449a,Thyroid Neoplasms,HMDD
hsa-mir-449a,Endometrial Neoplasms,HMDD
hsa-mir-449a,breast cancer,HMDD
hsa-mir-449a,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-449a,Esophageal Neoplasms,HMDD
hsa-mir-449a,Gastroparesis and Diabetic,HMDD
hsa-mir-449a,Carcinoma and Hepatocellular,HMDD
hsa-mir-449a,Azoospermia,HMDD
hsa-mir-449a,Thrombosis,HMDD
hsa-mir-449a,Ependymoma,HMDD
hsa-mir-449a,Diabetes Mellitus,HMDD
hsa-mir-449a,lung cancer,HMDD
hsa-mir-34a,Prostatic Neoplasms,HMDD
hsa-mir-34a,Colonic Neoplasms,HMDD
hsa-mir-34a,Nervous System Diseases,HMDD
hsa-mir-34a,Osteoarthritis,HMDD
hsa-mir-34a,Inflammation,HMDD
hsa-mir-34a,Hypoxia,HMDD
hsa-mir-34a,lung cancer,HMDD
hsa-mir-34a,Osteosarcoma,HMDD
hsa-mir-34a,Fibrosis,HMDD
hsa-mir-34a,Heart Diseases,HMDD
hsa-mir-34a,Reperfusion Injury,HMDD
hsa-mir-34a,Colorectal Neoplasms,HMDD
hsa-mir-34a,Lupus Erythematosus and Systemic,HMDD
hsa-mir-34a,Corneal dystrophy and epithelial basement membrane,HMDD
hsa-mir-34a,Precancerous Conditions,HMDD
hsa-mir-34a,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-34a,Uterine Cervical Neoplasms,HMDD
hsa-mir-34a,Pancreatic Carcinoma,HMDD
hsa-mir-34a,Chemical and Drug Induced Liver Injury,HMDD
hsa-mir-34a,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-34a,Vascular Diseases,HMDD
hsa-mir-34a,Carcinoma and Hepatocellular,HMDD
hsa-mir-34a,Esophageal Neoplasms,HMDD
hsa-mir-34a,Cataract,HMDD
hsa-mir-34a,Cardiotoxicity,HMDD
hsa-mir-34a,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-34a,Arthritis and Rheumatoid,HMDD
hsa-mir-34a,Colorectal Neoplasms and Hereditary Nonpolyposis,HMDD
hsa-mir-34a,Mitochondrial Diseases,HMDD
hsa-mir-34a,Ichthyosis and Lamellar,HMDD
hsa-mir-34a,Polycystic Ovary Syndrome,HMDD
hsa-mir-34a,Hypertension and Pulmonary,HMDD
hsa-mir-34a,Obesity,HMDD
hsa-mir-34a,Insulin Resistance,HMDD
hsa-mir-34a,Neurotoxicity Syndromes,HMDD
hsa-mir-34a,Hepatitis B and Chronic,HMDD
hsa-mir-34a,Nerve Degeneration,HMDD
hsa-mir-34a,Neurodegenerative Diseases,HMDD
hsa-mir-34a,Muscular Atrophy,HMDD
hsa-mir-34a,Ventricular Premature Complexes,HMDD
hsa-mir-34a,Neurotic Disorders,HMDD
hsa-mir-34a,Substance Abuse and Intravenous,HMDD
hsa-mir-34a,Radiation Injuries,HMDD
hsa-mir-34a,Coronary Artery Disease,HMDD
hsa-mir-34a,Fever,HMDD
hsa-mir-34a,Anovulation,HMDD
hsa-mir-34a,Celiac Disease,HMDD
hsa-mir-34a,Otitis Media,HMDD
hsa-mir-34a,Acrodermatitis enteropathica,HMDD
hsa-mir-34a,Carcinoma,HMDD
hsa-mir-34a,Leigh Disease,HMDD
hsa-mir-34a,Choriocarcinoma,HMDD
hsa-mir-34a,Squamous Intraepithelial Lesions,HMDD
hsa-mir-34a,Neuroblastoma,HMDD
hsa-mir-34a,Sciatic Neuropathy,HMDD
hsa-mir-34a,Hyperlipidemias,HMDD
hsa-mir-34a,Keratosis Follicularis Spinulosa Decalvans and X-Linked,HMDD
hsa-mir-34a,Atypical Squamous Cells of the Cervix,HMDD
hsa-mir-34a,Capsule Opacification,HMDD
hsa-mir-34a,Arteritis,HMDD
hsa-mir-34a,Pfeiffer type acrocephalosyndactyly,HMDD
hsa-mir-34a,Ear Diseases,HMDD
hsa-mir-34a,Retinoblastoma,HMDD
hsa-mir-34a,Adenoma,HMDD
hsa-mir-34a,Parkinson Disease,HMDD
hsa-mir-34a,Takotsubo Cardiomyopathy,HMDD
hsa-mir-34a,Peripheral Nerve Injuries,HMDD
hsa-mir-34a,Intestinal Atresia,HMDD
hsa-mir-34a,Distal arthrogryposis type 2B,HMDD
hsa-mir-34a,Myeloproliferative Disorder and Chronic and with Eosinophilia,HMDD
hsa-mir-34a,Asthma,HMDD
hsa-mir-34a,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-34a,Melanoma,HMDD
hsa-mir-34a,Diabetes Mellitus and Type 2,HMDD
hsa-mir-34a,Alzheimer Disease,HMDD
hsa-mir-34a,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-34a,Urinary Bladder Neoplasms,HMDD
hsa-mir-34a,Thrombocytopenia,HMDD
hsa-mir-34a,Alopecia Areata,HMDD
hsa-mir-34a,Carcinoma and Ovarian Epithelial,HMDD
hsa-mir-34a,Hepatoblastoma,HMDD
hsa-mir-34a,Glioblastoma,HMDD
hsa-mir-34a,Coronary Occlusion,HMDD
hsa-mir-34a,Diabetic Retinopathy,HMDD
hsa-mir-34a,Atrial Fibrillation,HMDD
hsa-mir-34a,Head and Neck Neoplasms,HMDD
hsa-mir-34a,Coronary Disease,HMDD
hsa-mir-34a,COVID-19,HMDD
hsa-mir-34a,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,HMDD
hsa-mir-34a,Laryngeal Neoplasms,HMDD
hsa-mir-34a,Ovarian Neoplasms,HMDD
hsa-mir-34a,Autistic Disorder,HMDD
hsa-mir-34a,Multiple Sclerosis and Relapsing-Remitting,HMDD
hsa-mir-34a,Bicuspid Aortic Valve Disease,HMDD
hsa-mir-34a,Lymphoma and Mantle-Cell,HMDD
hsa-mir-34a,Metabolic Diseases,HMDD
hsa-mir-34a,Hepatitis C,HMDD
hsa-mir-34a,Primary Graft Dysfunction,HMDD
hsa-mir-34a,Cholangitis and Biliary and Primary,HMDD
hsa-mir-34a,Liver Cirrhosis,HMDD
hsa-mir-34a,Tuberous Sclerosis,HMDD
hsa-mir-34a,Diabetic Nephropathies,HMDD
hsa-mir-34a,Fatty Liver,HMDD
hsa-mir-34a,Endometrial Neoplasms,HMDD
hsa-mir-34a,Liver Neoplasms,HMDD
hsa-mir-34a,Carcinoma and Ductal and Breast,HMDD
hsa-mir-34a,Multiple Myeloma,HMDD
hsa-mir-34a,Gastrointestinal Neoplasms,HMDD
hsa-mir-34a,Diabetic Cardiomyopathies,HMDD
hsa-mir-34a,Mesothelioma,HMDD
hsa-mir-34a,Stomach Neoplasms,HMDD
hsa-mir-34a,Alcoholism,HMDD
hsa-mir-34a,Depressive Disorder and Major,HMDD
hsa-mir-34a,Pulmonary Fibrosis,HMDD
hsa-mir-34a,Heart Failure,HMDD
hsa-mir-34a,Ventricular Dysfunction and Left,HMDD
hsa-mir-34a,Diabetes Mellitus,HMDD
hsa-mir-34a,Diabetes Mellitus and Type 1,HMDD
hsa-mir-34a,Cardiovascular Diseases,HMDD
hsa-mir-34a,Sarcoidosis,HMDD
hsa-mir-34a,Anemia and Aplastic,HMDD
hsa-mir-34a,Leukemia and Myeloid and Acute,HMDD
hsa-mir-34a,Spinal Cord Injuries,HMDD
hsa-mir-34a,Neoplasms,HMDD
hsa-mir-34a,Myelodysplastic Syndromes,HMDD
hsa-mir-34a,Lung Injury,HMDD
hsa-mir-34a,Burkitt Lymphoma,HMDD
hsa-mir-34a,Hepatitis and Chronic,HMDD
hsa-mir-34a,Hearing Loss and Sensorineural,HMDD
hsa-mir-34a,Scleroderma and Systemic,HMDD
hsa-mir-34a,Ischemic Stroke,HMDD
hsa-mir-34a,Uveal melanoma,HMDD
hsa-mir-34a,Colitis,HMDD
hsa-mir-34a,Multiple Sclerosis,HMDD
hsa-mir-34a,Leukemia and Lymphocytic and Chronic and B-Cell,HMDD
hsa-mir-34a,Carcinoma and Basal Cell,HMDD
hsa-mir-34a,Aortic Valve Disease,HMDD
hsa-mir-34a,Wounds and Injuries,HMDD
hsa-mir-34a,Thyroid cancer and medullary,HMDD
hsa-mir-34a,Glioma,HMDD
hsa-mir-34a,Sepsis,HMDD
hsa-mir-34a,Acute Kidney Injury,HMDD
hsa-mir-34a,Osteoporosis,HMDD
hsa-mir-34a,Fibrosis and Renal,HMDD
hsa-mir-34a,Chronic Periodontitis,HMDD
hsa-mir-34a,Myocardial Reperfusion Injury,HMDD
hsa-mir-34a,Mesothelioma and Malignant,HMDD
hsa-mir-34a,Hearing Loss and Age-Related,HMDD
hsa-mir-34a,Aortic Diseases,HMDD
hsa-mir-34a,Endometritis,HMDD
hsa-mir-34a,Myocardial Infarction,HMDD
hsa-mir-34a,Cerebral Hemorrhage,HMDD
hsa-mir-34a,Retinitis,HMDD
hsa-mir-34a,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-34a,Adenoma and Pleomorphic,HMDD
hsa-mir-34a,Depression,HMDD
hsa-mir-34a,Cardiomegaly,HMDD
hsa-mir-34a,Nasopharyngeal Carcinoma,HMDD
hsa-mir-34a,Aortic Aneurysm and Abdominal,HMDD
hsa-mir-34a,Testicular Diseases,HMDD
hsa-mir-34a,Sarcoma and Ewing,HMDD
hsa-mir-34a,Stroke,HMDD
hsa-mir-34a,Hypertension,HMDD
hsa-mir-34a,Brain Ischemia,HMDD
hsa-mir-34a,Infertility,HMDD
hsa-mir-34a,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-34a,Pain and Inflammatory,HMDD
hsa-mir-34a,Peripheral Nervous System Diseases,HMDD
hsa-mir-34a,Bronchopulmonary Dysplasia,HMDD
hsa-mir-34a,Developmental Disabilities,HMDD
hsa-mir-34a,Carcinoma and Transitional Cell,HMDD
hsa-mir-34a,Takayasu Arteritis,HMDD
hsa-mir-34a,Cognition Disorders,HMDD
hsa-mir-34a,Neonatal Sepsis,HMDD
hsa-mir-34a,Schizophrenia,HMDD
hsa-mir-34a,Dengue,HMDD
hsa-mir-34a,Familial Mediterranean Fever,HMDD
hsa-mir-34a,Hirschsprung Disease,HMDD
hsa-mir-34a,Infertility and Male,HMDD
hsa-mir-34a,Endometriosis,HMDD
hsa-mir-34a,Hepatitis B,HMDD
hsa-mir-34a,Migraine Disorders,HMDD
hsa-mir-34a,Carcinoma and Endometrioid,HMDD
hsa-mir-34a,Brain Injuries,HMDD
hsa-mir-34a,Lung Diseases and Interstitial,HMDD
hsa-mir-34a,Carcinoma and Renal Cell,HMDD
hsa-mir-34a,Atherosclerosis,HMDD
hsa-mir-34a,Thyroid Cancer and Papillary,HMDD
hsa-mir-34a,Pneumonia,HMDD
hsa-mir-34a,Heart Failure and Ischemic,HMDD
hsa-mir-34a,Cardiomyopathy and Dilated,HMDD
hsa-mir-34a,Reperfusion Injury and Hepatic Ischemia,HMDD
hsa-mir-34a,Metabolic Associated Fatty Liver  Disease ,HMDD
hsa-mir-34a,Brain Injuries and Traumatic,HMDD
hsa-mir-34a,Ependymoma,HMDD
hsa-mir-34a,Respiratory Distress Syndrome and Newborn,HMDD
hsa-mir-4a,breast cancer,HMDD
hsa-mir-4a,Ischemic Stroke,HMDD
hsa-mir-34a,Sjogren's Syndrome,HMDD
hsa-mir-132,Diabetes Mellitus and Type 2,HMDD
hsa-mir-132,Alzheimer Disease,HMDD
hsa-mir-132,Fibrosis,HMDD
hsa-mir-132,Colorectal Neoplasms,HMDD
hsa-mir-132,Hyperglycemia,HMDD
hsa-mir-132,Brain Diseases,HMDD
hsa-mir-132,Ovarian Neoplasms,HMDD
hsa-mir-132,Ovarian Diseases,HMDD
hsa-mir-132,Myocardial Infarction,HMDD
hsa-mir-132,Myocardial Ischemia,HMDD
hsa-mir-132,Obesity,HMDD
hsa-mir-132,Infertility,HMDD
hsa-mir-132,Epilepsy,HMDD
hsa-mir-132,Influenza and Human,HMDD
hsa-mir-132,Stiff-Person Syndrome,HMDD
hsa-mir-132,Brain Ischemia,HMDD
hsa-mir-132,Neurotic Disorders,HMDD
hsa-mir-132,Coronary Artery Disease,HMDD
hsa-mir-132,Rubella Syndrome and Congenital,HMDD
hsa-mir-132,Pars Planitis,HMDD
hsa-mir-132,Stress Disorders and Traumatic,HMDD
hsa-mir-132,Anxiety Disorders,HMDD
hsa-mir-132,Mental Disorders,HMDD
hsa-mir-132,von Hippel-Lindau Disease,HMDD
hsa-mir-132,Sciatic Neuropathy,HMDD
hsa-mir-132,Acute Disease,HMDD
hsa-mir-132,Chemical and Drug Induced Liver Injury and Chronic,HMDD
hsa-mir-132,Cardiac Complexes and Premature,HMDD
hsa-mir-132,Distal arthrogryposis type 2B,HMDD
hsa-mir-132,Ciliary Motility Disorders,HMDD
hsa-mir-132,Depression,HMDD
hsa-mir-132,Pneumonia,HMDD
hsa-mir-132,Acute Lung Injury,HMDD
hsa-mir-132,Stomach Neoplasms,HMDD
hsa-mir-132,Parkinson Disease,HMDD
hsa-mir-132,Retinoblastoma,HMDD
hsa-mir-132,Pancreatitis,HMDD
hsa-mir-132,Multiple Sclerosis,HMDD
hsa-mir-132,Laron Syndrome,HMDD
hsa-mir-132,Urinary Bladder Neoplasms,HMDD
hsa-mir-132,breast cancer,HMDD
hsa-mir-132,Arthritis and Rheumatoid,HMDD
hsa-mir-132,Trigeminal Neuralgia,HMDD
hsa-mir-132,Malformations of Cortical Development,HMDD
hsa-mir-132,lung cancer,HMDD
hsa-mir-132,Lymphoma and Mantle-Cell,HMDD
hsa-mir-132,Cholangiocarcinoma,HMDD
hsa-mir-132,Metabolic Diseases,HMDD
hsa-mir-132,Diabetes and Gestational,HMDD
hsa-mir-132,Mesothelioma and Malignant,HMDD
hsa-mir-132,Uterine Cervical Diseases,HMDD
hsa-mir-132,Status Epilepticus,HMDD
hsa-mir-132,Schizophrenia,HMDD
hsa-mir-132,Autism Spectrum Disorder,HMDD
hsa-mir-132,Carcinoma and Adenoid Cystic,HMDD
hsa-mir-132,Cysts,HMDD
hsa-mir-132,Liver Neoplasms,HMDD
